Wavelength,n,k
192,1.027931,1.07354
 193, 1.031482, 1.092666
194, 1.03436, 1.110154
195,1.035976, 1.124581
196, 1.035674, 1.134602
197, 1.034373, 1.140863
198, 1.034191, 1.145485
199, 1.0371, 1.150435
200, 1.043211, 1.156281
201, 1.050642, 1.162103
202, 1.05755, 1.166976
203,1.062995, 1.170587
204, 1.067733, 1.173812
205, 1.072676, 1.17762
206, 1.078528,1.182704
207, 1.085095, 1.188498
208, 1.091891, 1.19404
209, 1.098477,1.198455
210, 1.104696, 1.201598
211, 1.110706, 1.204157
212, 1.116668, 1.206822
213, 1.122694, 1.210131
214, 1.128665, 1.213903
215, 1.134382, 1.217702
216, 1.139663, 1.221123
217, 1.14441, 1.223938
218,1.148705, 1.226316
219, 1.152651, 1.228478
220, 1.156342, 1.23063
221, 1.159826,1.232888
222, 1.163082, 1.235245
223, 1.166084, 1.237685
224, 1.168811, 1.240191
225, 1.171351, 1.24271
226, 1.173942,1.24514
227, 1.17682,1.247379
228,1.180204, 1.249335
229, 1.184121, 1.251027
230, 1.188252, 1.252678
231, 1.192255, 1.254521
232, 1.195809, 1.256776
233, 1.198719, 1.259567
234, 1.201259, 1.262668
235, 1.203802, 1.265778
236, 1.2067, 1.268613
237, 1.210267, 1.270918
238, 1.214473, 1.272649
239, 1.219011, 1.273934
240, 1.223584, 1.274897
241, 1.227911, 1.275657
242, 1.231788, 1.276311
243, 1.235283, 1.276902
244, 1.238535, 1.277452
245, 1.241673, 1.277987
246, 1.24482, 1.278525
247,1.248037, 1.279085
248, 1.251247, 1.279671
249, 1.254364, 1.280288
250, 1.257302, 1.28094
251, 1.259984,1.281632
252, 1.262398, 1.282345
253, 1.264678, 1.283012
254, 1.266968, 1.28356
255, 1.269406,1.283923
256, 1.272124, 1.284035
257, 1.275215, 1.283859
258, 1.27866, 1.283449
259,1.282412, 1.282876
260, 1.286428, 1.282211
261, 1.290666, 1.28152
262, 1.295081,1.280855
263, 1.299572, 1.280076
264, 1.303997, 1.278917
265, 1.308221, 1.277118
266, 1.312119, 1.274431
267, 1.315572, 1.270615
268, 1.318499, 1.265579
269, 1.320944, 1.259811
270, 1.322979, 1.253926
271, 1.324667, 1.24852
272, 1.326065,1.244164
273, 1.327226, 1.241407
274, 1.32819, 1.240404
275,1.328978, 1.240235
276, 1.329606, 1.239827
277, 1.330093, 1.238154
278, 1.33046, 1.23423
279,1.330739,1.227104
280, 1.330946, 1.216289
281, 1.330976, 1.203284
282, 1.330661, 1.190092
283, 1.329803, 1.178668
284, 1.328184, 1.170916
285, 1.325593, 1.16868
286, 1.321917,1.173557
287, 1.31799, 1.183628
288,1.31536, 1.193917
289,1.315426, 1.199543
290, 1.319499, 1.195854
291, 1.329033, 1.178421
292, 1.345959, 1.14304
293, 1.372759,1.08678
294, 1.410012,1.014141
295, 1.456617, 0.932933
296, 1.510118, 0.850768
297, 1.566483, 0.774421
298, 1.620538, 0.7093
299, 1.666723, 0.659389
300, 1.70013, 0.627151
301,1.719782, 0.610131
302, 1.726967, 0.604124
303, 1.723175, 0.605588
304, 1.709859, 0.611413
305, 1.688339, 0.618724
306, 1.659756, 0.624727
307, 1.625067, 0.626612
308, 1.585013, 0.622955
309, 1.540192, 0.614543
310, 1.491205, 0.602314
311, 1.438677, 0.587202
312, 1.383274, 0.570175
313, 1.325723, 0.552276
314, 1.266838, 0.534657
315, 1.207521, 0.518581
