Wavelength,n,k
190,1.664195454,0
191,1.662401984,0
192,1.660648578,0
193,1.658933975,0
194,1.657256963,0
195,1.655616381,0
196,1.654011113,0
197,1.652440089,0
198,1.65090228,0
199,1.649396698,0
200,1.647922392,0
201,1.646478449,0
202,1.64506399,0
203,1.643678168,0
204,1.642320168,0
205,1.640989208,0
206,1.639684529,0
207,1.638405405,0
208,1.637151132,0
209,1.635921035,0
210,1.634714458,0
211,1.633530773,0
212,1.63236937,0
213,1.631229661,0
214,1.630111081,0
215,1.629013079,0
216,1.627935127,0
217,1.626876711,0
218,1.625837338,0
219,1.624816527,0
220,1.623813816,0
221,1.622828756,0
222,1.621860913,0
223,1.620909866,0
224,1.619975209,0
225,1.619056548,0
226,1.618153499,0
227,1.617265694,0
228,1.616392773,0
229,1.615534388,0
230,1.614690202,0
231,1.613859888,0
232,1.613043127,0
233,1.612239612,0
234,1.611449043,0
235,1.61067113,0
236,1.609905591,0
237,1.609152152,0
238,1.608410546,0
239,1.607680516,0
240,1.606961809,0
241,1.606254182,0
242,1.605557398,0
243,1.604871224,0
244,1.604195437,0
245,1.603529818,0
246,1.602874154,0
247,1.602228239,0
248,1.601591871,0
249,1.600964855,0
250,1.600346999,0
251,1.599738119,0
252,1.599138031,0
253,1.598546562,0
254,1.597963538,0
255,1.597388793,0
256,1.596822164,0
257,1.596263491,0
258,1.595712619,0
259,1.595169399,0
260,1.594633681,0
261,1.594105324,0
262,1.593584185,0
263,1.59307013,0
264,1.592563024,0
265,1.592062737,0
266,1.591569143,0
267,1.591082116,0
268,1.590601537,0
269,1.590127287,0
270,1.589659251,0
271,1.589197315,0
272,1.58874137,0
273,1.588291309,0
274,1.587847025,0
275,1.587408417,0
276,1.586975384,0
277,1.586547829,0
278,1.586125654,0
279,1.585708767,0
280,1.585297076,0
281,1.584890491,0
282,1.584488925,0
283,1.584092291,0
284,1.583700507,0
285,1.583313491,0
286,1.582931161,0
287,1.582553439,0
288,1.582180249,0
289,1.581811516,0
290,1.581447165,0
291,1.581087126,0
292,1.580731326,0
293,1.580379698,0
294,1.580032174,0
295,1.579688687,0
296,1.579349172,0
297,1.579013567,0
298,1.578681808,0
299,1.578353835,0
300,1.578029589,0
301,1.57770901,0
302,1.577392041,0
303,1.577078626,0
304,1.57676871,0
305,1.57646224,0
306,1.576159161,0
307,1.575859422,0
308,1.575562973,0
309,1.575269762,0
310,1.574979743,0
311,1.574692865,0
312,1.574409083,0
313,1.57412835,0
314,1.573850621,0
315,1.573575851,0
316,1.573303997,0
317,1.573035015,0
318,1.572768865,0
319,1.572505504,0
320,1.572244893,0
321,1.571986992,0
322,1.571731761,0
323,1.571479162,0
324,1.571229158,0
325,1.570981712,0
326,1.570736788,0
327,1.57049435,0
328,1.570254363,0
329,1.570016793,0
330,1.569781606,0
331,1.569548769,0
332,1.56931825,0
333,1.569090017,0
334,1.568864037,0
335,1.568640282,0
336,1.568418719,0
337,1.56819932,0
338,1.567982055,0
339,1.567766895,0
340,1.567553812,0
341,1.567342778,0
342,1.567133767,0
343,1.56692675,0
344,1.566721703,0
345,1.566518597,0
346,1.56631741,0
347,1.566118114,0
348,1.565920686,0
349,1.5657251,0
350,1.565531335,0
351,1.565339364,0
352,1.565149167,0
353,1.56496072,0
354,1.564774,0
355,1.564588985,0
356,1.564405655,0
357,1.564223988,0
358,1.564043962,0
359,1.563865557,0
360,1.563688753,0
361,1.56351353,0
362,1.563339868,0
363,1.563167748,0
364,1.56299715,0
365,1.562828057,0
366,1.56266045,0
367,1.562494309,0
368,1.562329619,0
369,1.56216636,0
370,1.562004516,0
371,1.561844069,0
372,1.561685004,0
373,1.561527302,0
374,1.561370948,0
375,1.561215926,0
376,1.56106222,0
377,1.560909814,0
378,1.560758693,0
379,1.560608842,0
380,1.560460247,0
381,1.560312891,0
382,1.560166761,0
383,1.560021843,0
384,1.559878123,0
385,1.559735586,0
386,1.55959422,0
387,1.55945401,0
388,1.559314943,0
389,1.559177007,0
390,1.559040189,0
391,1.558904475,0
392,1.558769854,0
393,1.558636312,0
394,1.558503839,0
395,1.558372421,0
396,1.558242048,0
397,1.558112707,0
398,1.557984387,0
399,1.557857077,0
400,1.557730765,0
401,1.557605441,0
402,1.557481094,0
403,1.557357712,0
404,1.557235286,0
405,1.557113805,0
406,1.556993259,0
407,1.556873637,0
408,1.55675493,0
409,1.556637128,0
410,1.556520221,0
411,1.5564042,0
412,1.556289054,0
413,1.556174775,0
414,1.556061354,0
415,1.555948781,0
416,1.555837048,0
417,1.555726145,0
418,1.555616064,0
419,1.555506797,0
420,1.555398334,0
421,1.555290668,0
422,1.555183789,0
423,1.555077691,0
424,1.554972365,0
425,1.554867802,0
426,1.554763996,0
427,1.554660938,0
428,1.554558621,0
429,1.554457036,0
430,1.554356178,0
431,1.554256037,0
432,1.554156608,0
433,1.554057883,0
434,1.553959854,0
435,1.553862515,0
436,1.553765859,0
437,1.553669879,0
438,1.553574568,0
439,1.55347992,0
440,1.553385928,0
441,1.553292585,0
442,1.553199886,0
443,1.553107823,0
444,1.553016391,0
445,1.552925583,0
446,1.552835394,0
447,1.552745816,0
448,1.552656846,0
449,1.552568475,0
450,1.552480699,0
451,1.552393512,0
452,1.552306908,0
453,1.552220882,0
454,1.552135428,0
455,1.552050541,0
456,1.551966214,0
457,1.551882444,0
458,1.551799224,0
459,1.551716549,0
460,1.551634415,0
461,1.551552815,0
462,1.551471746,0
463,1.551391202,0
464,1.551311178,0
465,1.551231669,0
466,1.551152671,0
467,1.551074179,0
468,1.550996188,0
469,1.550918693,0
470,1.55084169,0
471,1.550765175,0
472,1.550689142,0
473,1.550613588,0
474,1.550538508,0
475,1.550463897,0
476,1.550389752,0
477,1.550316068,0
478,1.550242842,0
479,1.550170068,0
480,1.550097743,0
481,1.550025863,0
482,1.549954423,0
483,1.549883421,0
484,1.549812851,0
485,1.54974271,0
486,1.549672995,0
487,1.549603701,0
488,1.549534825,0
489,1.549466362,0
490,1.549398311,0
491,1.549330665,0
492,1.549263423,0
493,1.549196581,0
494,1.549130135,0
495,1.549064081,0
496,1.548998417,0
497,1.548933139,0
498,1.548868243,0
499,1.548803726,0
500,1.548739585,0
501,1.548675817,0
502,1.548612418,0
503,1.548549385,0
504,1.548486716,0
505,1.548424407,0
506,1.548362454,0
507,1.548300856,0
508,1.548239608,0
509,1.548178708,0
510,1.548118153,0
511,1.548057941,0
512,1.547998067,0
513,1.54793853,0
514,1.547879326,0
515,1.547820453,0
516,1.547761908,0
517,1.547703688,0
518,1.54764579,0
519,1.547588212,0
520,1.547530952,0
521,1.547474006,0
522,1.547417371,0
523,1.547361046,0
524,1.547305028,0
525,1.547249314,0
526,1.547193902,0
527,1.547138789,0
528,1.547083972,0
529,1.547029451,0
530,1.546975221,0
531,1.54692128,0
532,1.546867627,0
533,1.546814259,0
534,1.546761174,0
535,1.546708369,0
536,1.546655842,0
537,1.546603591,0
538,1.546551613,0
539,1.546499907,0
540,1.54644847,0
541,1.5463973,0
542,1.546346396,0
543,1.546295754,0
544,1.546245373,0
545,1.54619525,0
546,1.546145384,0
547,1.546095773,0
548,1.546046415,0
549,1.545997307,0
550,1.545948448,0
551,1.545899836,0
552,1.545851468,0
553,1.545803343,0
554,1.54575546,0
555,1.545707815,0
556,1.545660408,0
557,1.545613236,0
558,1.545566297,0
559,1.545519591,0
560,1.545473114,0
561,1.545426866,0
562,1.545380844,0
563,1.545335047,0
564,1.545289472,0
565,1.545244119,0
566,1.545198986,0
567,1.54515407,0
568,1.545109371,0
569,1.545064887,0
570,1.545020615,0
571,1.544976555,0
572,1.544932704,0
573,1.544889062,0
574,1.544845626,0
575,1.544802395,0
576,1.544759368,0
577,1.544716543,0
578,1.544673918,0
579,1.544631493,0
580,1.544589264,0
581,1.544547232,0
582,1.544505394,0
583,1.54446375,0
584,1.544422297,0
585,1.544381034,0
586,1.54433996,0
587,1.544299074,0
588,1.544258373,0
589,1.544217858,0
590,1.544177525,0
591,1.544137375,0
592,1.544097405,0
593,1.544057615,0
594,1.544018002,0
595,1.543978567,0
596,1.543939307,0
597,1.543900221,0
598,1.543861307,0
599,1.543822566,0
600,1.543783995,0
601,1.543745593,0
602,1.543707359,0
603,1.543669291,0
604,1.543631389,0
605,1.543593652,0
606,1.543556078,0
607,1.543518665,0
608,1.543481414,0
609,1.543444322,0
610,1.543407389,0
611,1.543370613,0
612,1.543333993,0
613,1.543297529,0
614,1.543261218,0
615,1.543225061,0
616,1.543189055,0
617,1.543153201,0
618,1.543117496,0
619,1.543081939,0
620,1.543046531,0
621,1.543011269,0
622,1.542976153,0
623,1.542941181,0
624,1.542906353,0
625,1.542871667,0
626,1.542837123,0
627,1.542802719,0
628,1.542768455,0
629,1.54273433,0
630,1.542700342,0
631,1.542666492,0
632,1.542632776,0
633,1.542599196,0
634,1.54256575,0
635,1.542532436,0
636,1.542499255,0
637,1.542466204,0
638,1.542433284,0
639,1.542400494,0
640,1.542367831,0
641,1.542335297,0
642,1.542302889,0
643,1.542270607,0
644,1.54223845,0
645,1.542206417,0
646,1.542174507,0
647,1.54214272,0
648,1.542111054,0
649,1.54207951,0
650,1.542048085,0
651,1.542016779,0
652,1.541985592,0
653,1.541954522,0
654,1.54192357,0
655,1.541892733,0
656,1.541862011,0
657,1.541831404,0
658,1.54180091,0
659,1.54177053,0
660,1.541740261,0
661,1.541710104,0
662,1.541680058,0
663,1.541650122,0
664,1.541620294,0
665,1.541590576,0
666,1.541560965,0
667,1.541531461,0
668,1.541502063,0
669,1.541472771,0
670,1.541443584,0
671,1.541414502,0
672,1.541385522,0
673,1.541356646,0
674,1.541327872,0
675,1.541299199,0
676,1.541270628,0
677,1.541242156,0
678,1.541213784,0
679,1.541185511,0
680,1.541157336,0
681,1.541129259,0
682,1.541101278,0
683,1.541073395,0
684,1.541045606,0
685,1.541017913,0
686,1.540990314,0
687,1.54096281,0
688,1.540935398,0
689,1.540908079,0
690,1.540880852,0
691,1.540853717,0
692,1.540826672,0
693,1.540799718,0
694,1.540772854,0
695,1.540746078,0
696,1.540719391,0
697,1.540692792,0
698,1.540666281,0
699,1.540639856,0
700,1.540613518,0
701,1.540587266,0
702,1.540561098,0
703,1.540535015,0
704,1.540509017,0
705,1.540483102,0
706,1.54045727,0
707,1.540431521,0
708,1.540405853,0
709,1.540380267,0
710,1.540354762,0
711,1.540329338,0
712,1.540303993,0
713,1.540278728,0
714,1.540253542,0
715,1.540228434,0
716,1.540203405,0
717,1.540178452,0
718,1.540153577,0
719,1.540128778,0
720,1.540104055,0
721,1.540079408,0
722,1.540054835,0
723,1.540030338,0
724,1.540005914,0
725,1.539981564,0
726,1.539957288,0
727,1.539933084,0
728,1.539908952,0
729,1.539884892,0
730,1.539860903,0
731,1.539836986,0
732,1.539813139,0
733,1.539789362,0
734,1.539765655,0
735,1.539742016,0
736,1.539718447,0
737,1.539694946,0
738,1.539671513,0
739,1.539648147,0
740,1.539624849,0
741,1.539601617,0
742,1.539578451,0
743,1.539555352,0
744,1.539532317,0
745,1.539509348,0
746,1.539486444,0
747,1.539463603,0
748,1.539440827,0
749,1.539418114,0
750,1.539395464,0
751,1.539372876,0
752,1.539350351,0
753,1.539327888,0
754,1.539305487,0
755,1.539283147,0
756,1.539260867,0
757,1.539238648,0
758,1.539216489,0
759,1.53919439,0
760,1.53917235,0
761,1.539150368,0
762,1.539128446,0
763,1.539106582,0
764,1.539084776,0
765,1.539063027,0
766,1.539041335,0
767,1.5390197,0
768,1.538998122,0
769,1.5389766,0
770,1.538955134,0
771,1.538933723,0
772,1.538912368,0
773,1.538891067,0
774,1.538869821,0
775,1.538848629,0
776,1.538827491,0
777,1.538806406,0
778,1.538785374,0
779,1.538764396,0
780,1.538743469,0
781,1.538722596,0
782,1.538701774,0
783,1.538681003,0
784,1.538660284,0
785,1.538639616,0
786,1.538618999,0
787,1.538598432,0
788,1.538577915,0
789,1.538557448,0
790,1.53853703,0
791,1.538516662,0
792,1.538496343,0
793,1.538476072,0
794,1.538455849,0
795,1.538435675,0
796,1.538415548,0
797,1.538395468,0
798,1.538375436,0
799,1.538355451,0
800,1.538335512,0
