Wavelength,n,k
300 ,0.216998 ,2.982331 
310 , 0.2314807,3.092004 
320 ,0.244195 , 3.198823
330 ,0.257547 , 3.305539
340 ,0.271604 , 3.412406
350 ,0.290082 , 3.54058
360 ,0.305364 ,3.648751 
370 ,0.321858 , 3.757369
380 ,0.342480 , 3.88058
390 ,0.360846 ,3.979542 
400 ,0.379647 , 4.082876
410 ,0.400246 , 4.188316
420 ,0.421412 , 4.292106
430 ,0.444057 , 4.396783
440 ,0.465408 , 4.500599
450 ,0.487928 , 4.604027
460 ,0.512283 , 4.706527
470 ,0.538407 , 4.810853
480 , 0.5644833, 4.914279
490 ,0.592249 , 5.018071
500 ,0.619160 , 5.118837
510 ,0.645912 , 5.220763
520 ,0.676629 , 5.321967
530 ,0.707396 , 5.423059
540 ,0.739860 , 5.523573
550 ,0.772567 , 5.622132
560 ,0.806864 , 5.721302
570 ,0.843153 , 5.820921
580 ,0.879712 , 5.917523
590 ,0.919714 , 6.012587
600 , 0.9609698, 6.113433
610 ,1.005489 , 6.205347
620 , 1.047717, 6.300925
630 , 1.092922, 6.392527
640 , 1.141207, 6.482915
650 , 1.193956, 6.572276
660 , 1.244376, 6.659096
670 , 1.300197, 6.741486
680 , 1.357039, 6.822009
690 , 1.418723, 6.901422
700 , 1.480797, 6.97521
710 , 1.546586,7.041971 
720 , 1.614953, 7.109311
730 , 1.688431, 7.166531
740 , 1.758443, 7.221682
750 , 1.833182, 7.262954
760 , 1.916784, 7.294995
770 , 1.990925, 7.315523
780 , 2.06884, 7.314221
790 ,2.134087 , 7.302088
800 , 2.187829, 7.272347
810 , 2.221816, 7.225925
820 , 2.237131, 7.17582
830 , 2.221914,7.123820 
840 , 2.167254,7.078475 
850 , 2.09148, 7.049016
860 ,2.004554 , 7.048155
870 , 1.911496, 7.067503
880 , 1.809762, 7.104741
890 , 1.716822, 7.15927
900 , 1.635215,7.232685 
910 , 1.552198, 7.316956
920 , 1.499707, 7.414795
930 , 1.432331, 7.508859
940 , 1.389026, 7.610199
950 , 1.347538, 7.721204
960 , 1.293588, 7.816066
970 , 1.253106, 7.934302
980 , 1.217073, 8.034137
990 , 1.19072, 8.143808
1000 ,1.158706 , 8.254839
