Wavelength,n,k
192,1.3520845,0.8868635
193, 1.389114, 0.902838
194, 1.4283605, 0.915369
195,1.469427, 0.9240185
196, 1.511812,0.9283965
197, 1.554913,0.9281905
198, 1.59804,0.9231955
199,1.6404425,0.9133435
200,1.681341,0.898721
201, 1.719973, 0.879581
202, 1.755637, 0.856337
203, 1.787734, 0.8295395
204, 1.8158035,0.799845
205,1.83954, 0.7679675
206,1.8587975,0.7346405
207,1.873578,0.700567
208, 1.8840105, 0.666392
209,1.890317, 0.6326745
210, 1.892784,0.5998825
211, 1.89173,0.5683875
212,1.8874795,0.5384745
213,1.880338,0.5103555
214, 1.8705815,0.48419
215,1.858444,0.4601025
216, 1.8441185,0.438207
217,1.827756, 0.4186295
218, 1.809483,0.401528
219, 1.789415, 0.387112
220, 1.7676885, 0.375655
221,1.7444905, 0.367502
222,1.720104, 0.3630585
223, 1.69495,0.3627715
224,1.6696305,0.3670825
225,1.644956,0.3763565
226, 1.6219535,0.3907965
227,1.601826,0.410332
228, 1.585865, 0.434524
229, 1.5753065, 0.462505
230,1.571151, 0.492984
231, 1.573999, 0.524349
232, 1.58394, 0.5548325
233,1.60053,0.5827145
234,1.622864,0.606501
235, 1.649696, 0.625047
236, 1.679589, 0.637612
237, 1.711043, 0.64386
238, 1.742606,0.6438225
239, 1.7729485,0.6378425
240,1.800918,0.62651
241, 1.825567,0.6106015
242, 1.8461665,0.5910185
243,1.862208,0.568735
244, 1.873394, 0.544751
245, 1.879623, 0.5200525
246, 1.880968,0.49558
247, 1.87765,0.472203
248,1.8700145, 0.450706
249,1.8585035, 0.431775
250,1.8436295, 0.4159975
251,1.825955,0.4038645
252, 1.806073,0.3957815
253, 1.784596,0.392077
254, 1.7621495, 0.393021
255,1.7393725, 0.3988405
256,1.716933,0.4097315
257, 1.695545,0.4258715
258, 1.676001,0.4474155
259, 1.659209,0.4744855
260, 1.646238,0.507131
261, 1.6383605, 0.5452675
262,1.637075,0.5885775
263, 1.644108,0.636374
264, 1.6613475, 0.687433
265,1.690707, 0.739807
266, 1.733865, 0.7906435
267, 1.79186,0.836072
268,1.8645075, 0.8712575
269,1.949698,0.8908025
270, 2.0428025,0.8896865
271,2.1366475,0.8647585
272,2.2226105,0.816298
273,2.2927835, 0.7486675
274,2.342263,0.6693015
275, 2.3701825,0.5864215
276,2.379053,0.506837
277, 2.3731455, 0.4348675
278,2.356975,0.3724475
279, 2.334413,0.319805
280, 2.308391, 0.276206
281, 2.28095, 0.2405025
282,2.253423,0.2114625
283, 2.226632,0.1879345
284, 2.2010505,0.168916
285,2.176921, 0.1535645
286, 2.154343,0.1411885
287, 2.133325,0.1312245
288, 2.113823,0.1232175
289, 2.095764,0.116799
290, 2.0790595, 0.1116725
291,2.063614,0.1075955
292, 2.049334,0.104373
293, 2.036127, 0.101844
294, 2.023905, 0.0998785
295, 2.012587,0.0983685
296, 2.002096,0.097225
297, 1.992362, 0.0963755
298, 1.9833195,0.095759
299,1.974909, 0.0953265
300, 1.9670765,0.095036
301,1.959771, 0.094854
302, 1.952947, 0.094753
303, 1.9465635, 0.0947095
304,1.9405815,0.0947055
305,1.934968,0.0947265
306, 1.929692,0.09476
307, 1.9247265,0.094798
308,1.9200505, 0.094833
309,1.9156515, 0.094855
310,1.911509, 0.0948395
311, 1.9075955,0.094768
312,1.90387, 0.094633
313,1.9003055, 0.0944395
314,1.8968785,0.0941945
315,1.8935715,0.0939015
316,1.8903695,0.0935675
317,1.8872565,0.0931985
318,1.8842235,0.092801
319,1.881259, 0.0923805
320, 1.878355,0.0919435
321, 1.875505,0.0914955
322, 1.8727015,0.0910415
323,1.869941,0.090588
324, 1.867218, 0.0901385
325, 1.86453,0.089699
326,1.861873, 0.089273
327, 1.8592455, 0.0888655
328,1.8566455,0.08848
329,1.854072,0.0881205
330, 1.851524,0.08779
331, 1.849001,0.087492
332, 1.846503, 0.087229
333, 1.84403, 0.087004
334,1.841583, 0.0868195
335, 1.839162,0.0866775
336, 1.8367685,0.0865795
337,1.834403,0.0865275
338, 1.8320665,0.0865225
339,1.8297605,0.086566
340,1.827487, 0.0866605
341, 1.825247,0.0868045
342, 1.823041,0.087
343, 1.8208725,0.087248
344,1.8187415, 0.0875475
345,1.8166505,0.0879
346,1.814601, 0.0883055
347, 1.812595,0.088763
348, 1.8106335, 0.0892735
349,1.808719,0.089836
350, 1.806853, 0.090451
351, 1.8050375, 0.091118
352,1.803274, 0.0918355
353, 1.8015645,0.0926045
354,1.799911,0.093423
355, 1.7983155, 0.09429
356,1.7967795,0.0952065
357,1.795305,0.0961705
358, 1.793894,0.097181
359, 1.7925485, 0.0982375
360,1.7912705,0.099338
361,1.7900625, 0.100482
362,1.7889265, 0.101668
363,1.787864, 0.1028945
364, 1.7868785,0.104161
365,1.785971, 0.105464
366, 1.7851445, 0.1068035
367,1.784401,0.1081765
368, 1.783744,0.109582
369, 1.783175, 0.111017
370, 1.782697, 0.1124795
371, 1.782312,0.113966
372, 1.7820235, 0.1154755
373,1.7818345,0.1170035
374,1.781746,0.118547
375, 1.781762, 0.120103
376, 1.781885, 0.121667
377, 1.7821175, 0.1232355
378,1.7824625,0.124803
379,1.7829215, 0.1263655
380,1.7834975,0.127918
381,1.7841925, 0.1294545
382,1.785009,0.1309685
383, 1.7859485,0.132454
384,1.7870115, 0.133904
385,1.7882005, 0.135312
386,1.789516, 0.13667
387, 1.790957,0.137969
388, 1.7925235, 0.1392015
389,1.794216,0.140359
390, 1.7960305, 0.1414325
391,1.797967,0.142411
392, 1.8000205, 0.143287
393,1.802188, 0.1440495
394, 1.8044635,0.14469
395,1.806842,0.145197
396, 1.8093155, 0.145563
397,1.811877, 0.1457775
398, 1.8145165,0.145833
399,1.8172245, 0.1457205
400,1.819989,0.145432
401, 1.8227985, 0.1449615
402,1.8256395,0.144304
403,1.828498, 0.1434535
404, 1.83136,0.142408
405,1.8342095, 0.141165
406,1.8370315, 0.1397245
407,1.8398105,0.1380865
408,1.8425295,0.1362555
409,1.8451745,0.134235
410,1.8477285, 0.1320305
411,1.850177,0.1296505
412, 1.8525075,0.127103
413,1.8547065, 0.1243995
414,1.856762,0.1215505
415, 1.858663,0.1185695
416, 1.860401,0.11547
417, 1.8619685,0.1122665
418,1.8633595,0.1089735
419,1.86457,0.105607
420,1.865596, 0.102181
421, 1.8664375, 0.098712
422,1.8670945, 0.0952145
423,1.8675685,0.091703
424,1.8678625, 0.0881915
425,1.867981,0.0846925
426, 1.867929,0.0812195
427, 1.8677135,0.0777835
428,1.86734,0.0743945
429,1.8668175,0.071062
430,1.866154, 0.067795
431, 1.8653575, 0.0646
432,1.864437, 0.061484
433, 1.8634015, 0.0584525
434,1.8622595,0.055509
435,1.86102, 0.0526575
436,1.8596925,0.0499015
437,1.858284,0.047242
438, 1.856804, 0.04468
439, 1.8552595,0.042217
440,1.8536585, 0.0398525
441,1.8520085,0.0375865
442,1.850315,0.0354165
443, 1.8485855,0.0333435
444,1.846826,0.0313645
445, 1.8450415,0.029477
446,1.843238, 0.0276805
447, 1.841419,0.0259715
448, 1.83959,0.0243475
449,1.8377545,0.022807
450,1.8359165, 0.021346
451,1.834079, 0.0199625
452, 1.832245,0.018653
453, 1.8304175, 0.017416
454,1.8285995, 0.016248
455,1.8267925, 0.0151455
456,1.8249985,0.0141075
457,1.82322,0.01313
458,1.821458,0.0122105
459, 1.819714,0.0113475
460, 1.817989,0.010538
461, 1.8162845, 0.009779
462,1.814601, 0.009069
463, 1.812939, 0.008405
464, 1.8113005, 0.007786
465,1.8096855, 0.007209
466,1.808093, 0.006672
467, 1.8065255, 0.0061735
468,1.8049825,0.005712
469,1.803464, 0.005285
470, 1.80197, 0.0048915
471,1.800502,0.004529
472, 1.799058, 0.0041965
473, 1.79764,0.003893
474,1.796247, 0.0036165
