Wavelength,n,k
194,1.414332667,0.549792333
 195,1.413210333,0.559364667
196,1.412359,0.569450667
197, 1.411795,0.580075
198, 1.411529, 0.591273
199, 1.411569, 0.603099
200, 1.411927333, 0.615637667
201,1.412634667,0.629016
202,1.41377, 0.643410667
203,1.415499,0.659037667
204, 1.418119667,0.676119
205,1.422093, 0.694811667
206, 1.428029333,0.715110333
207,1.436616667,0.736747
208,1.448485667, 0.759138667
209,1.464039333,0.781412
210,1.483307333, 0.802532333
211,1.505891667,0.821501
212,1.531021333, 0.837561
213,1.557711333, 0.850349333
214,1.584969667,0.859941333
215,1.611998667,0.866791667
216,1.638329333,0.871593
217,1.663879, 0.875095333
218, 1.688909333,0.877931667
219,1.713926667,0.88049
220,1.739542333,0.882852333
221,1.766335333,0.884799
222,1.794753, 0.885857667
223, 1.824988,0.885356333
224, 1.856963333,0.882635333
225,1.890413333,0.877063667
226,1.924887333,0.868093667
227,1.959783667,0.855301667
228,1.994392667,0.838423
229,2.027939667, 0.817369
230,2.059632333, 0.792238667
231,2.088705333,0.76332
232,2.114474,0.731077
233, 2.136377, 0.696123
234, 2.154011667, 0.659182667
235,2.167158,0.621039
236, 2.17578, 0.582482667
237,2.180016667,0.544261667
238,2.180149667,0.507039667
239,2.176570333,0.471369667
240,2.169741333,0.437679667
241,2.160156,0.406274333
242, 2.148312333,0.377340667
243,2.134683667,0.350966333
244,2.119706667,0.327157
245,2.10377, 0.305854667
246,2.08721,0.286955
247,2.070313, 0.270323667
248, 2.053316,0.255807333
249, 2.036411667,0.243242667
250,2.019754333,0.232465333
251,2.003466,0.223313667
252, 1.987639333,0.215633
253,1.972343667, 0.209277
254,1.95763, 0.204109
255,1.943534, 0.200003667
256, 1.930077,0.196844667
257, 1.917273333,0.194527333
258,1.905127667,0.192955333
259,1.893640333,0.192042
260,1.882806333, 0.191707
261,1.872619, 0.191879333
262, 1.86307,0.192493333
263,1.854149333,0.193490333
264,1.845849,0.194815333
265, 1.838163667,0.196419
266,1.831096667, 0.198253333
267,1.82468,0.200272
268,1.818954667, 0.202292667
269,1.81375,0.204205667
270,1.808976333,0.206012333
271,1.804578,0.207710667
272, 1.800509667,0.209298333
273,1.796735667,0.210769
274,1.793221667, 0.212119667
275,1.789939,0.213345
276, 1.786858667, 0.214441667
277,1.783953333,0.215404333
278,1.781197,0.216229333
279, 1.778561667,0.216915
280,1.776022333, 0.217459
281,1.773551, 0.217861333
282, 1.771121,0.218123
283, 1.768704333, 0.218248333
284,1.766273,0.218242667
285, 1.763799667,0.218114667
286,1.761256333,0.217876333
287,1.758615667,0.217541333
288,1.755851667,0.217129
289,1.752939, 0.216661
290, 1.749856, 0.216162333
291, 1.746581333,0.215662667
292,1.7431,0.215193667
293, 1.739397667,0.214792
294,1.735467333, 0.214494
295,1.731305333, 0.214340667
296,1.726914,0.214373
297, 1.722302, 0.214631667
298, 1.717482667,0.215158667
299,1.712476667,0.215992
300,1.707309333, 0.21717
301,1.702011,0.218726
302, 1.696618, 0.220689667
303, 1.691168667,0.223088
304,1.685707, 0.225941
305, 1.680278, 0.229264333
306, 1.674931333,0.233069
307,1.669715667, 0.237360333
308,1.664684333,0.242138333
309,1.659892,0.247398333
310, 1.6554,0.25313
311, 1.651284667,0.259317
312,1.647673333, 0.265868667
313,1.644506667,0.272606
314,1.641705667, 0.279528667
315,1.639249,0.286643667
316, 1.637132333,0.293956667
317,1.635359667,0.301469333
318,1.633939667,0.309184
319,1.632886, 0.317099
320, 1.632215, 0.325212333
321, 1.631946667,0.333517667
322,1.632102,0.342008667
323, 1.632706,0.350673333
324, 1.633783,0.359498333
325, 1.635360333,0.368466
326,1.637465667, 0.377554667
327,1.640126,0.386738
328, 1.64337, 0.395986
329,1.647224333, 0.405262667
330,1.651713,0.414526
331, 1.656859667, 0.423730333
332,1.662682,0.432823333
333, 1.669194333,0.441748
334,1.676405333, 0.450441667
335,1.684315667,0.458838
336,1.692918667, 0.466867
337,1.702198333, 0.474455
338,1.712129333, 0.481529667
339,1.722673,0.488016333
340, 1.733782333,0.493845333
341,1.745397333,0.49895
342,1.757447,0.503270667
343, 1.769851,0.506757
344, 1.782519333, 0.509369667
345,1.795355667,0.511081667
346,1.808259,0.511880667
347, 1.821125667,0.511770667
348,1.833853,0.510770333
349, 1.846343667,0.508915
350,1.858505333, 0.506254667
351,1.870256333,0.502852
352,1.881527, 0.498781667
353, 1.892260333,0.494126667
354,1.902415333,0.488977
355,1.911966, 0.483424333
356, 1.920901,0.477561667
357, 1.929224667,0.471479333
358,1.936955,0.465261667
359, 1.944120667,0.458989
360,1.950763, 0.45273
361, 1.956929333,0.446546333
362,1.962676,0.440488333
363, 1.968062667,0.434595333
364,1.973153667,0.428895667
365,1.978011667,0.423408333
366,1.982703333,0.418139667
367,1.987291333,0.413087333
368,1.991836333,0.408239333
369,1.996395667,0.403574333
370,2.001021667,0.399062667
371,2.005761667,0.394666333
372,2.010656667,0.390341333
373,2.015739667,0.386037
374,2.021035, 0.381696667
375, 2.02656,0.377259667
376,2.032320667,0.372662
377,2.038312, 0.367838
378, 2.044519333, 0.362719333
379,2.050916,0.357242
380, 2.057461667, 0.351342333
381,2.064107,0.344962667
382, 2.070789333,0.338052
383,2.077436667, 0.330570667
384,2.083968333,0.322488
385,2.090295333, 0.313789
386,2.096327, 0.304473
387, 2.101968667, 0.294555
388,2.107129, 0.284067
389, 2.111721333, 0.273057333
390,2.115667667,0.261589667
391,2.118900333,0.24974
392,2.121367,0.237595333
393, 2.123029333,0.225250333
394,2.123866667,0.212803
395,2.123873667, 0.200354
396,2.123063, 0.187999667
397, 2.12146,0.175831667
398,2.119104333,0.163933667
399,2.116045333,0.15238
400,2.112340667,0.141233667
401,2.108054,0.130546333
402, 2.103251667,0.120358667
403,2.098001333,0.110699333
404,2.092371333,0.101587333
405,2.086426,0.093032333
406, 2.080227,0.085035333
407, 2.073832,0.077590667
408, 2.067294,0.070686667
409, 2.060661333,0.064307667
410,2.053975667,0.058434667
411,2.047276333,0.053045
412,2.040595667, 0.048115
413,2.033962, 0.043619667
414, 2.027400333,0.039534
415,2.020931, 0.035832667
416, 2.014571667,0.03249
417,2.008336,0.029482667
418, 2.002236,0.026787
419, 1.996281, 0.024380333
420, 1.990478,0.022242333
421, 1.984833,0.020352
422, 1.97935, 0.018690333
423,1.974033,0.017240667
424, 1.968883667,0.015985
425,1.963904667, 0.014909667
426,1.959097333,0.013999333
427,1.954464333,0.013240667
428,1.950008,0.012622
429, 1.945734333, 0.012132
430,1.941657667, 0.011759667
431,1.937806667,0.011457
432,1.934139, 0.011170333
433, 1.930619667,0.010896667
434,1.927231,0.010636333
435, 1.92396,0.010388333
436,1.920796,0.010152333
437, 1.917731667,0.009928
438,1.914759333, 0.009714667
439,1.911872333,0.009512667
440,1.909065667,0.009321
441,1.906335667, 0.009139333
442,1.903676333,0.008967333
443,1.901085,0.008804333
444, 1.898558,0.008650667
445, 1.896092,0.008506
446, 1.893684333, 0.008369
447,1.891332, 0.008240333
448, 1.889033,0.008119667
449, 1.886785,0.008005667
450, 1.884586,0.007899667
451, 1.882433667,0.007800333
452,1.880326333,0.007708
453,1.878262333, 0.007621333
454,1.87624,0.007541667
455,1.874258,0.007468
456, 1.872314667, 0.007399667
457,1.870409,0.007337667
458, 1.868539667,0.007280333
459,1.866705,0.007228667
460, 1.864904667,0.007182
461,1.863136667, 0.00714
462,1.861400667,0.007103333
463,1.859695667,0.007071333
464,1.858020667,0.007043
465,1.856374667, 0.007019667
466,1.854757333,0.007
467,1.853167,0.006984667
468, 1.851603333,0.006973333
469,1.850065333,0.006965333
470,1.848553333,0.006961667
471,1.847065333,0.006961
472,1.845602, 0.006964333
473, 1.844162,0.006970667
474, 1.842744667,0.00698
475,1.841349667,0.006992667
476,1.839976667,0.007008667
477,1.838624667,0.007027667
478,1.837293667,0.007049
479,1.835983, 0.007074
480, 1.834692667, 0.007101
481,1.833421667, 0.007130333
482,1.832169667,0.007163
483,1.830937, 0.007197667
484, 1.829722333,0.007235333
485,1.828526,0.007274667
486, 1.827348,0.007316667
487, 1.826188667,0.007360667
488,1.825047,0.007406333
489, 1.823923,0.007452333
490, 1.822816,0.007499
491, 1.821725, 0.007545333
492, 1.820649333,0.007592
493,1.819588667, 0.007639
494,1.818543, 0.007685667
495, 1.817511,0.007732667
496, 1.816493,0.007779667
497, 1.815488667,0.007827
498,1.814497, 0.007874333
499, 1.813518333,0.007921667
500,1.812552,0.007969333
501, 1.811597667,0.008017
502,1.810655333, 0.008065
503,1.809724667, 0.008113
504,1.808805, 0.008161333
505, 1.807897,0.008209667
506, 1.806999667,0.008258
507,1.806112667, 0.008306667
508,1.805236333,0.008355
509,1.80437, 0.008404
510,1.803514, 0.008452667
511, 1.802667333,0.008502333
512,1.801831,0.008551333
513, 1.801003333,0.008600333
514,1.800185,0.008650333
515, 1.799375667,0.0087
516,1.798575333, 0.008749667
517,1.797783667,0.008799333
518,1.797000667,0.008849333
519,1.796225667,0.0089
520,1.795459, 0.00895
521, 1.794700667,0.009001
522,1.79395, 0.009051
523,1.793207, 0.009101667
524, 1.792472,0.009152667
525, 1.791744,0.009204
526, 1.791024, 0.009255
527, 1.790310667, 0.009306333
528,1.789604667,0.009357667
529,1.788905667,0.009409333
530,1.788214,0.009461
531, 1.787528333, 0.009512667
532,1.786849667,0.009564667
533,1.786177667,0.009617
534,1.785511667, 0.009669333
535,1.784852333,0.009721333
536,1.784199333,0.009774333
537,1.783552333,0.009827
538,1.782911333, 0.009879667
539,1.782276333,0.009932333
540,1.781647333,0.009986
541,1.781023667, 0.010039
542,1.780406, 0.010092333
543, 1.779793667,0.010146
544,1.779187, 0.010199667
545, 1.778586,0.010253333
546, 1.777989667,0.010307333
547,1.777399333,0.010361333
548,1.776813667,0.010415667
549,1.776233333,0.01047
550,1.775657667,0.010524667
551,1.775087333,0.010579333
552,1.774521667,0.010634
553,1.773961, 0.010689
554, 1.773405, 0.010744
555, 1.772853667, 0.010799333
556,1.772307333,0.010854667
557,1.771764667,0.01091
558,1.771227,0.010966
559, 1.770693667, 0.011021667
560,1.770165,0.011077667
561, 1.769640333,0.011134
562,1.769120333, 0.011189667
563,1.768603667,0.011246333
564,1.768092,0.011302667
565, 1.767584,0.011359
566, 1.76708, 0.011416
567,1.76658, 0.011473
568,1.766084, 0.01153
569, 1.765592,0.011587
570, 1.765103333, 0.011644667
571,1.764619,0.011702
572, 1.764138, 0.01176
573, 1.763660667,0.011817667
574,1.763187333,0.011875333
575,1.762717333,0.011933667
576,1.762251,0.011991667
577, 1.761787667,0.01205
578,1.761328667,0.012108333
579,1.760872,0.012167
580, 1.760419333, 0.012226
581,1.759969667, 0.012284667
582,1.759524,0.012344
583, 1.759081333, 0.012403
584,1.758641667, 0.012462333
585,1.758205,0.012521667
586, 1.757771667,0.012581
587,1.757341667, 0.012641
588,1.756914333, 0.012701
589,1.756490333, 0.012761
590,1.756069, 0.012821
591, 1.755651, 0.012881333
592, 1.755235667,0.012942
593,1.754823, 0.013002667
594, 1.754413333,0.013063333
595,1.754006667,0.013124333
596,1.753603,0.013185
597, 1.753201667, 0.013246333
598,1.752803667,0.013307333
599,1.752407667,0.013368667
600,1.752014333,0.013430667
601,1.751624,0.013492333
602, 1.751236,0.013554
603, 1.750851333, 0.013615667
604,1.750468667,0.013678
605,1.750088, 0.013740333
606, 1.749710667,0.013802667
607,1.749335667,0.013865333
608,1.748963,0.013928
609, 1.748592667, 0.013990667
610,1.748224667,0.014053667
611,1.747859333,0.014117
612,1.747495667, 0.01418
613,1.747135,0.014243333
614, 1.746776333,0.014307
615,1.746420333, 0.014370667
616,1.746066333,0.014434333
617,1.745714667,0.014498333
618,1.745365,0.014562333
619, 1.745017667,0.014626667
620,1.744672333,0.014691333
621,1.744329667,0.014755333
622,1.743988333,0.01482
623,1.743649333,0.014885
624,1.743312667, 0.014949667
625,1.742978333,0.015014667
626,1.742645667,0.01508
627,1.742315,0.015145333
628, 1.741986333,0.015210667
629,1.741659333,0.015276
630,1.741335, 0.015342
631, 1.741011667, 0.015408
632,1.740691333, 0.015473667
633,1.740372333,0.01554
634,1.740055,0.015606
635, 1.739740333, 0.015672333
636,1.739427,0.015739333
637, 1.739115333,0.015806
638,1.738805667, 0.015872333
639,1.738498,0.015939333
640, 1.738191667,0.016006667
641,1.737887667,0.016073667
642,1.737585,0.016141333
643, 1.737284,0.016208667
644, 1.736985333,0.016276667
645,1.736688,0.016344
646, 1.736392333, 0.016412
647,1.736098, 0.01648
648, 1.735806,0.016548
649, 1.735515, 0.016616667
650, 1.735226333,0.016685
651,1.734939, 0.016753333
652, 1.734653,0.016822
653, 1.734369, 0.016891
654, 1.734086, 0.016960333
655, 1.733805,0.017029333
656, 1.733525333,0.017098667
657,1.733247333,0.017167667
658,1.732971,0.017237333
659, 1.732696,0.017306667
660, 1.732422667,0.017376667
661,1.732150667,0.017446667
662,1.73188,0.017516667
663,1.731611,0.017586667
664, 1.731343333,0.017657
665,1.731077667, 0.017727
666,1.730812667, 0.017798
667,1.730549667, 0.017868667
668,1.730287333,0.017939333
669,1.730027,0.018010667
670, 1.729767667,0.018081333
671,1.72951,0.018152333
672,1.729253667,0.018224333
673,1.728998333,0.018295667
674,1.728744667,0.018367333
675,1.728492333,0.018439
676,1.728241333, 0.018510667
