Wavelength,n,k
194,0.720497,0.878945
195,0.724406,0.881875
196, 0.728005, 0.884961
197, 0.731332, 0.888245
198, 0.734433, 0.891768
199, 0.73736, 0.895563
200,0.74017, 0.899657
201,0.742924, 0.904066
202, 0.745687, 0.908797
203, 0.748525, 0.913847
204, 0.751504, 0.919201
205, 0.754686, 0.924832
206, 0.75813, 0.930705
207,0.761888, 0.936771
208, 0.766002, 0.942975
209, 0.770506, 0.949254
210, 0.775421, 0.955539
211, 0.780757, 0.961758
212, 0.78651, 0.967838
213,0.792666, 0.973708
214, 0.799198, 0.979299
215, 0.806065, 0.984549
216, 0.813222, 0.9894
217, 0.82061, 0.993806
218,0.828166, 0.997728
219, 0.835822, 1.001137
220, 0.843505, 1.004017
221, 0.85114, 1.006361
222,0.858655, 1.008173
223, 0.865976, 1.009468
224, 0.873033, 1.010271
225, 0.879762, 1.010616
226, 0.886102, 1.010545
227, 0.891999, 1.010109
228, 0.897406, 1.009363
229, 0.902284, 1.008368
230, 0.906603, 1.007192
231, 0.910339, 1.005902
232, 0.91348, 1.004569
233,0.91602, 1.003265
234,0.917963, 1.002061
235, 0.91932, 1.001026
236,0.92011, 1.000228
237,0.920362, 0.999731
238, 0.92011, 0.999597
239,0.919392, 0.999879
240, 0.918255, 1.000628
241, 0.91675, 1.001889
242,0.914931, 1.0037
243, 0.912854, 1.006091
244, 0.91058, 1.009088
245,0.908169, 1.012707
246, 0.905681, 1.016962
247, 0.903178, 1.021854
248, 0.900718, 1.027384
249, 0.898358, 1.033544
250, 0.896153, 1.040322
251, 0.894153, 1.047699
252, 0.892407, 1.055656
253, 0.890959, 1.064167
254, 0.889848, 1.073207
255, 0.88911, 1.082747
256,0.888778, 1.092755
257, 0.888879, 1.103204
258, 0.889439, 1.114061
259, 0.890479, 1.125296
260, 0.89202, 1.136882
261,0.894077, 1.14879
262, 0.896667,1.160993
263, 0.899804, 1.173466
264, 0.903502, 1.186185
265, 0.907775, 1.19913
266, 0.912638,1.212278
267, 0.918107, 1.22561
268, 0.924198,1.239107
269, 0.930933, 1.25275
270, 0.938333,1.266519
271, 0.946424, 1.280394
272, 0.955236, 1.294353
273, 0.964802, 1.30837
274, 0.975158,1.322416
275, 0.986345, 1.336455
276, 0.998409, 1.350444
277, 1.011398, 1.364333
278, 1.025361, 1.378059
279, 1.040349, 1.391548
280, 1.056413, 1.404707
281, 1.073598, 1.417431
282, 1.09194, 1.42959
283,1.111465,1.44104
284, 1.132177,1.451612
285, 1.154055, 1.461118
286, 1.177047, 1.469357
287, 1.201055, 1.476117
288, 1.225937, 1.481182
289, 1.251494, 1.484353
290, 1.277476, 1.485453
291, 1.303577, 1.484352
292, 1.329453, 1.480976
293, 1.35473, 1.47533
294,1.379029,1.467503
295, 1.401991, 1.457668
296, 1.423297, 1.446082
297, 1.442698, 1.433064
298, 1.460021, 1.41898
299, 1.475186,1.404214
300, 1.488196, 1.389143
301, 1.499133, 1.374116
302, 1.50814, 1.35944
303,1.515407,1.345363
304, 1.521148, 1.332079
305, 1.525591, 1.319723
306, 1.528961, 1.308379
307, 1.531469, 1.298087
308, 1.53331, 1.28885
309,1.534657,1.280645
310, 1.535656, 1.27343
311, 1.536435,1.267148
312, 1.537095, 1.261736
313, 1.537722, 1.257125
314, 1.53838, 1.253247
315,1.539122, 1.250038
316, 1.539987, 1.247433
317, 1.541002, 1.245376
318, 1.542188, 1.243813
319, 1.543557, 1.242697
320, 1.545118, 1.241986
321, 1.546875, 1.241642
322, 1.548828, 1.241634
323, 1.550976, 1.241933
324, 1.553316, 1.242518
325, 1.555846, 1.24337
326, 1.558561,1.244472
327, 1.561458, 1.245813
328, 1.564535, 1.247383
329, 1.567788, 1.249178
330, 1.571217, 1.251192
331, 1.574822, 1.253424
332, 1.578605, 1.255874
333, 1.582568, 1.258544
334, 1.586718, 1.261437
335, 1.591061, 1.264558
336, 1.595606, 1.267912
337, 1.600366, 1.271505
338, 1.605354, 1.275344
339, 1.610588, 1.279435
340, 1.616086, 1.283787
341, 1.621871, 1.288405
342, 1.62797, 1.293295
343,1.634412, 1.298462
344, 1.641229, 1.30391
345, 1.648458,1.309639
346, 1.656139, 1.31565
347, 1.664316,1.321937
348, 1.673037, 1.328494
349, 1.682355, 1.335307
350, 1.692326, 1.342358
351, 1.70301, 1.349623
352,1.714469, 1.35707
353, 1.72677,1.364658
354,1.73998, 1.372337
355,1.754169, 1.380045
356, 1.769405, 1.387707
357, 1.785756, 1.395236
358, 1.803285, 1.402527
359, 1.822047, 1.409462
360, 1.84209, 1.415905
361,1.863446, 1.421702
362, 1.886132, 1.426685
363, 1.910143, 1.430669
364, 1.935446, 1.433459
365, 1.96198, 1.434848
366,1.989648, 1.434626
367, 2.018313, 1.432587
368, 2.0478, 1.428534
369, 2.077891, 1.422289
370, 2.108331, 1.413703
371, 2.138829, 1.402668
372, 2.169065, 1.38912
373, 2.198705,1.373055
374, 2.227407, 1.354524
375, 2.254837, 1.333644
376, 2.280686, 1.31059
377, 2.304679,1.28559
378, 2.326587,1.258917
379, 2.346236, 1.230877
380, 2.363514, 1.201793
381, 2.378365, 1.171994
382, 2.390792, 1.1418
383, 2.400851, 1.111514
384, 2.40864, 1.081409
385,2.414291, 1.051726
386, 2.417963, 1.022668
387, 2.41983, 0.994402
388,2.420074, 0.967056
389, 2.418878, 0.940725
390, 2.416424, 0.915474
391, 2.412882, 0.891341
392, 2.408413, 0.868341
393, 2.403165, 0.846471
394, 2.397272, 0.825712
395, 2.390854, 0.806035
396, 2.384017, 0.787402
397, 2.376856, 0.769771
398, 2.36945, 0.753092
399,2.36187, 0.737317
400,2.354177, 0.722394
401, 2.346421, 0.708275
402, 2.338644, 0.694908
403, 2.330884, 0.682246
404, 2.323168, 0.670244
405, 2.315523, 0.658857
406, 2.307968, 0.648045
407, 2.300518, 0.637767
408, 2.293185, 0.627987
409, 2.285981, 0.618672
410, 2.278912, 0.609789
411, 2.271982, 0.601308
412, 2.265195, 0.593203
413, 2.258554, 0.585447
414, 2.25206, 0.578017
415,2.245711, 0.570891
416, 2.239507, 0.564049
417, 2.233447, 0.557473
418, 2.227528, 0.551144
419, 2.221748, 0.545047
420, 2.216104, 0.539167
421, 2.210593, 0.533491
422, 2.205211, 0.528007
423, 2.199956, 0.522701
424, 2.194823, 0.517565
425, 2.18981, 0.512587
426,2.184912, 0.507759
427, 2.180126, 0.503072
428, 2.175449, 0.498519
429, 2.170877, 0.494091
430, 2.166408, 0.489783
431, 2.162036, 0.485587
432, 2.15776, 0.481499
433,2.153576, 0.477512
434, 2.149481, 0.473621
435, 2.145473, 0.469823
436, 2.141547, 0.466112
437, 2.137703, 0.462484
438, 2.133936, 0.458936
439, 2.130244, 0.455464
440, 2.126625, 0.452064
441, 2.123077, 0.448734
442, 2.119597, 0.445471
443, 2.116182, 0.442271
444, 2.112832, 0.439133
445, 2.109543, 0.436054
446, 2.106314, 0.433031
447, 2.103142, 0.430063
448, 2.100027, 0.427147
449, 2.096966, 0.424282
450, 2.093958, 0.421466
451, 2.091, 0.418697
452,2.088092, 0.415974
453, 2.085232, 0.413295
454, 2.082419, 0.410658
455, 2.079651, 0.408063
456, 2.076926, 0.405508
457, 2.074244, 0.402992
458, 2.071604, 0.400513
459, 2.069004, 0.398071
460, 2.066443, 0.395664
461, 2.06392, 0.393293
462,2.061434, 0.390954
463, 2.058983, 0.388649
464, 2.056568, 0.386375
465, 2.054187, 0.384133
466, 2.05184, 0.381921
467,2.049524, 0.379738
468, 2.04724, 0.377584
469,2.044987, 0.375459
470, 2.042764, 0.373361
471, 2.040571, 0.371289
472, 2.038406, 0.369245
473, 2.036268, 0.367225
474, 2.034159, 0.365231
475, 2.032075, 0.363262
476, 2.030018, 0.361316
477, 2.027986, 0.359394
478, 2.025979, 0.357495
479, 2.023996, 0.355619
480, 2.022037, 0.353765
481, 2.020102, 0.351933
482, 2.018189, 0.350122
483, 2.016298, 0.348332
484, 2.01443, 0.346563
485,2.012582, 0.344814
486, 2.010756, 0.343084
487, 2.00895, 0.341375
488,2.007165, 0.339684
489, 2.005399, 0.338012
490, 2.003653, 0.336358
491, 2.001926, 0.334722
492, 2.000218, 0.333105
493, 1.998528, 0.331505
494, 1.996856, 0.329922
495, 1.995202, 0.328356
496, 1.993565, 0.326806
497, 1.991946, 0.325274
498, 1.990343, 0.323757
499, 1.988757, 0.322256
500, 1.987187, 0.320771
501, 1.985633, 0.319301
502, 1.984096, 0.317846
503, 1.982573, 0.316407
504, 1.981066, 0.314982
505, 1.979575, 0.313571
506, 1.978098, 0.312175
507, 1.976636, 0.310793
508, 1.975188, 0.309425
509, 1.973755, 0.30807
510, 1.972336,0.306729
511, 1.97093, 0.305401
512,1.969539, 0.304086
513, 1.968161, 0.302784
514, 1.966797, 0.301495
515, 1.965446, 0.300219
516, 1.964108, 0.298954
517, 1.962783, 0.297702
518, 1.961472, 0.296462
519, 1.960173, 0.295234
520, 1.958887, 0.294017
521, 1.957614, 0.292812
522, 1.956353, 0.291618
523, 1.955105, 0.290435
524, 1.953871, 0.289263
525, 1.952649, 0.288102
526, 1.951442, 0.28695
527, 1.950247,0.285807
528, 1.949064, 0.284671
529, 1.947892, 0.283543
530, 1.946731, 0.282423
531, 1.94558, 0.281311
532,1.94444, 0.280208
533,1.94331, 0.279111
534,1.942189, 0.278023
535, 1.941079, 0.276943
536, 1.939977, 0.27587
537, 1.938884,0.274805
538, 1.937801, 0.273747
539, 1.936726, 0.272697
540, 1.93566, 0.271655
541,1.934603, 0.27062
542, 1.933554,0.269592
543, 1.932513, 0.268572
544, 1.93148, 0.267558
545,1.930456, 0.266552
546, 1.929439, 0.265553
547, 1.92843, 0.264562
