Wavelength,n,k
194 ,1.442206 ,0.403976 
195 , 1.436341, 0.404579333
196 , 1.429956667,0.406576 
197 ,1.423257 ,0.410070 
198 ,1.416463 ,0.415143 
199 ,1.409815 ,0.421855 
200 ,1.403577 , 0.430238
201 , 1.398032667, 0.440289
202 ,1.393487 , 0.451963667
203 ,1.390264 ,0.465164 
204 , 1.388695, 0.479729
205 , 1.389111, 0.495417667
206 , 1.391823,0.511901 
207 , 1.397094, 0.528757667
208 , 1.405108,0.545469 
209 , 1.415936, 0.561437667
210 , 1.429498667,0.576011 
211 ,1.445539 ,0.588529 
212 ,1.463608 , 0.598376333
213 ,1.483077 ,0.605051 
214 , 1.503169667,0.608229 
215 ,1.523027 ,0.607808 
216 ,1.541780 , 0.603932
217 ,1.558641 , 0.596977333
218 , 1.572963,0.587513 
219 , 1.584291333,0.576233 
220 ,1.592377 ,0.563885 
221 ,1.597161 , 0.551210333
222 ,1.598743 ,0.538892 
223 , 1.597346333,0.527530 
224 ,1.593274 ,0.517631 
225 ,1.586880 ,0.509615 
226 ,1.578551 ,0.503822 
227 ,1.568691 ,0.500527 
228 , 1.557719,0.499947 
229 , 1.546071333,0.502250 
230 ,1.534204 ,0.507555 
231 , 1.522592667,0.515924 
232 ,1.511733 ,0.527358 
233 , 1.502133333, 0.541779667
234 ,1.494301 ,0.559030 
235 ,1.488726 ,0.578860 
236 ,1.485852 ,0.600927 
237 , 1.486063333,0.624813 
238 ,1.489657 ,0.650034 
239 ,1.496831 ,0.676070 
240 , 1.507684,0.702391 
241 , 1.522221667, 0.728488
242 ,1.540374 , 0.753895
243 , 1.562021667, 0.778204667
244 ,1.587027 ,0.801075 
245 ,1.615269 , 0.822220667
246 ,1.646677 ,0.841395 
247 ,1.681259 , 0.858349333
248 ,1.719128 ,0.872774 
249 ,1.760501 ,0.884211 
250 ,1.805657 ,0.891936 
251 , 1.854814, 0.894821333
252 , 1.907881,0.891224 
253 , 1.964044333,0.879005 
254 ,2.021257 , 0.855875667
255 , 2.075911667,0.820222 
256 ,2.123195 , 0.77229
257 , 2.158459667,0.715006 
258 ,2.179063 ,0.653526 
259 ,2.185367 ,0.593465 
260 ,2.180159 ,0.539041 
261 , 2.167157667,0.492295 
262 ,2.149732 ,0.453446 
263 ,2.130337 ,0.421680 
264 , 2.110505333,0.395824 
265 ,2.091082 ,0.374737 
266 ,2.072475 , 0.357467333
267 ,2.054849 ,0.343280 
268 ,2.038248 ,0.331631 
269 , 2.022678,0.322120 
270 , 2.008143333,0.314453 
271 ,1.994687 ,0.308402 
272 ,1.982455 ,0.303621 
273 , 1.971194667,0.299719 
274 ,1.960742 , 0.296683667
275 , 1.951076667,0.294486 
276 ,1.942217 ,0.293068 
277 , 1.934193333, 0.292353333
278 ,1.927037 ,0.292249 
279 ,1.920775 , 0.292649667
280 ,1.915419 ,0.293441 
281 , 1.910971,0.294504 
282 , 1.907415333, 0.29572
283 ,1.904719 ,0.296972 
284 , 1.902834667,0.298152 
285 ,1.901699 ,0.299158 
286 ,1.901238 ,0.299907 
287 ,1.901366 ,0.300327 
288 , 1.901994333, 0.300366
289 ,1.903029 , 0.299989
290 , 1.904382, 0.299179
291 , 1.905967333, 0.297933667
292 ,1.907711 ,0.296266 
293 ,1.909550 ,0.294199 
294 ,1.911433 ,0.291762 
295 ,1.913327 ,0.288984 
296 , 1.915206333, 0.285894333
297 ,1.917060 ,0.282515 
298 ,1.918883 , 0.278858667
299 , 1.920671,0.274925 
300 , 1.922418667,0.270705 
301 ,1.924112 , 0.266176667
302 , 1.925724,0.261314 
303 , 1.927212667,0.256089 
304 ,1.928520 ,0.250482 
305 ,1.929572 , 0.244482333
306 ,1.930287 ,0.238099 
307 ,1.930575 ,0.231365 
308 ,1.930355 ,0.224332 
309 , 1.929548,0.217078 
310 , 1.928095333,0.209701 
311 ,1.925964 , 0.202316
312 ,1.923146 , 0.195043667
313 , 1.919663667,0.188003 
314 ,1.915565 ,0.181305 
315 ,1.910919 ,0.175045 
316 , 1.905814,0.169298 
317 , 1.900347,0.164118 
318 , 1.894620333,0.159532 
319 ,1.888733 ,0.155548 
320 ,1.882780 ,0.152155 
321 ,1.876844 ,0.149321 
322 , 1.870994333, 0.147005667
323 ,1.865287 ,0.145159 
324 ,1.859764 , 0.143726667
325 , 1.854451333,0.142653 
326 ,1.849365 ,0.141885 
327 , 1.84451,0.141376 
328 ,1.839883 , 0.141082
329 ,1.835476 , 0.140967333
330 ,1.831277 ,0.141004 
331 ,1.827273 ,0.141169 
332 ,1.823449 ,0.141447 
333 , 1.819795667,0.141826 
334 ,1.816303 ,0.142299 
335 , 1.812964667, 0.142860333
336 ,1.809778 ,0.143505 
337 ,1.806744 ,0.144230 
338 ,1.803863 ,0.145029 
339 , 1.801140333,0.145894 
340 ,1.798581 ,0.146815 
341 ,1.796190 ,0.147779 
342 ,1.793970 ,0.148772 
343 ,1.791924 ,0.149773 
344 , 1.790051,0.150764 
345 , 1.788346667,0.151723 
346 ,1.786802 , 0.152628
347 , 1.785404667, 0.153456
348 ,1.784139 , 0.154188
349 ,1.782984 , 0.154805
350 ,1.781915 , 0.155291667
351 ,1.780907 ,0.155638 
352 ,1.779930 ,0.155834 
353 ,1.778953 ,0.155880 
354 , 1.777946667,0.155778 
355 ,1.776880 , 0.155534333
356 ,1.775725 ,0.155162 
357 ,1.774452 ,0.154676 
