Wavelength,PL
380,0
381,0.000530323
382,0
383,0.000473988
384,0.000101376
385,0
386,0.000764109
387,0
388,0
389,0.000867081
390,0
391,0
392,0.000216743
393,0
394,0
395,0.000283756
396,0
397,0
398,0.000180578
399,0.00052907
400, 0.000247246
401,0.000157115
402,0
403,0
404,0
405,0
406,0.000104852
407,0.00041264
408, 0.000503057
409,0.00013038
410, 0
411,0
412,0
413,0.000435495
414,0
415,0
416,0.0000446
417, 0
418,0
419,0
420,0.0000947
421, 3.06E-05
422, 0.00012413
423, 0.000717472
424,0.000199176
425,0
426,0
427,0
428,0.000168557
429,0.000688402
430,0.000119417
431,0
432,0
433,0
434,0
435,0.0000767
436, 2.57E-05
437, 0
438,0.0000461
439, 0
440,0
441,0.000143617
442,0.000180736
443,0.000140016
444,0
445,0.0000753
446, 2.72E-05
447, 0.000292677
448,0
449,0.000215425
450,0.0000657
451, 0
452,0.0000215
453, 0.000321296
454,0.0000915
455, 7.34E-05
456, 7.06E-05
457, 0
458,0.000397304
459,0.000393519
460,0.000305909
461,0.000614675
462,0.000516214
463,0.000391264
464,0.000311798
465,0.000400912
466,0.000402165
467,0.000486718
468,0.000502882
469,0.000696622
470,0.000672213
471,0.000632618
472,0.000736267
473,0.000617031
474,0.000451408
475,0.000780924
476,0.000933365
477,0.000751328
478,0.001038142
479,0.000886202
480,0.000666951
481,0.000530924
482,0.000690332
483,0.001055533
484,0.000732007
485,0.0009269
486,0.000857658
487,0.000990001
488,0.001159332
489,0.00086678
490, 0.000794757
491,0.000892893
492,0.001243033
493,0.001068489
494,0.00082305
495, 0.001184568
496,0.00117517
497, 0.000932663
498,0.001207974
499,0.001196672
500,0.001241755
501,0.001071722
502,0.00112713
503, 0.000999624
504,0.000877255
505,0.000923291
506,0.001146226
507,0.001126479
508,0.001223236
509,0.001516239
510,0.001077686
511,0.000936021
512,0.001057989
513,0.001250977
514,0.001164871
515,0.00110841
516, 0.000889635
517,0.000960831
518,0.001154646
519,0.001199303
