Wavelength,target
350,1.74E-75
351,6.01E-75
352,2.07E-74
353,7.11E-74
354,2.43E-73
355,8.24E-73
356,2.80E-72
357,9.44E-72
358,3.17E-71
359,1.06E-70
360,3.53E-70
361,1.17E-69
362,3.86E-69
363,1.26E-68
364,4.14E-68
365,1.34E-67
366,4.36E-67
367,1.41E-66
368,4.52E-66
369,1.45E-65
370,4.60E-65
371,1.46E-64
372,4.59E-64
373,1.44E-63
374,4.51E-63
375,1.41E-62
376,4.35E-62
377,1.34E-61
378,4.13E-61
379,1.26E-60
380,3.84E-60
381,1.17E-59
382,3.51E-59
383,1.06E-58
384,3.16E-58
385,9.36E-58
386,2.78E-57
387,8.24E-57
388,2.42E-56
389,7.06E-56
390,2.06E-55
391,5.97E-55
392,1.72E-54
393,4.95E-54
394,1.42E-53
395,4.03E-53
396,1.14E-52
397,3.22E-52
398,9.04E-52
399,2.54E-51
400,7.07E-51
401,1.96E-50
402,5.42E-50
403,1.49E-49
404,4.07E-49
405,1.11E-48
406,3.01E-48
407,8.16E-48
408,2.18E-47
409,5.84E-47
410,1.56E-46
411,4.13E-46
412,1.09E-45
413,2.86E-45
414,7.50E-45
415,1.96E-44
416,5.07E-44
417,1.31E-43
418,3.37E-43
419,8.64E-43
420,2.20E-42
421,5.58E-42
422,1.41E-41
423,3.54E-41
424,8.88E-41
425,2.22E-40
426,5.49E-40
427,1.36E-39
428,3.34E-39
429,8.16E-39
430,1.99E-38
431,4.83E-38
432,1.17E-37
433,2.81E-37
434,6.73E-37
435,1.61E-36
436,3.81E-36
437,8.96E-36
438,2.12E-35
439,4.96E-35
440,1.16E-34
441,2.69E-34
442,6.20E-34
443,1.42E-33
444,3.27E-33
445,7.46E-33
446,1.70E-32
447,3.82E-32
448,8.64E-32
449,1.93E-31
450,4.30E-31
451,9.52E-31
452,2.11E-30
453,4.65E-30
454,1.02E-29
455,2.22E-29
456,4.82E-29
457,1.04E-28
458,2.25E-28
459,4.82E-28
460,1.02E-27
461,2.18E-27
462,4.62E-27
463,9.68E-27
464,2.04E-26
465,4.25E-26
466,8.80E-26
467,1.82E-25
468,3.76E-25
469,7.70E-25
470,1.58E-24
471,3.19E-24
472,6.46E-24
473,1.30E-23
474,2.61E-23
475,5.21E-23
476,1.03E-22
477,2.05E-22
478,4.03E-22
479,7.90E-22
480,1.54E-21
481,3.00E-21
482,5.80E-21
483,1.12E-20
484,2.14E-20
